test_ids,Category,Sub_category
2015_5_6310_1001,4,17
2015_5_6311_1001,2,16
2015_5_6312_1001,3,18
2015_5_6313_1001,1,19
2015_5_6315_1001,2,15
2015_5_6316_1001,3,18
2015_5_6318_1001,1,8
2015_5_6319_1001,3,18
2015_5_632_1001,0,10
2015_5_6321_1001,1,19
2015_5_6322_1001,3,18
2015_5_6323_1001,2,15
2015_5_6325_1001,2,16
2015_5_6326_1001,1,8
2015_5_6327_1001,4,17
2015_5_6328_1001,4,13
2015_5_6329_1001,3,18
2015_5_633_1001,1,19
2015_5_6330_1001,2,16
2015_5_6331_1001,1,19
2015_5_6332_1001,0,14
2015_5_6334_1001,3,18
2015_5_6335_1001,1,8
2015_5_6337_1001,0,14
2015_5_6338_1001,0,10
2015_5_6339_1001,4,17
2015_5_6341_1001,4,17
2015_5_6343_1001,2,15
2015_5_6344_1001,3,6
2015_5_6345_1001,1,19
2015_5_6348_1001,4,17
2015_5_6349_1001,4,13
2015_5_635_1001,4,17
2015_5_6350_1001,4,17
2015_5_6352_1001,2,16
2015_5_6354_1001,1,19
2015_5_6356_1001,3,18
2015_5_6357_1001,1,19
2015_5_6358_1001,4,17
2015_5_6359_1001,2,16
2015_5_6360_1001,1,19
2015_5_6362_1001,3,18
2015_5_6363_1001,2,16
2015_5_6364_1001,2,16
2015_5_6365_1001,3,18
2015_5_6366_1001,4,9
2015_5_6367_1001,1,19
2015_5_6368_1001,1,19
2015_5_6369_1001,2,16
2015_5_637_1001,4,17
2015_5_6370_1001,2,16
2015_5_6371_1001,1,8
2015_5_6372_1001,1,19
2015_5_6375_1001,1,19
2015_5_6376_1001,2,7
2015_5_6377_1001,4,13
2015_5_6378_1001,1,8
2015_5_6381_1001,2,16
2015_5_6382_1001,3,18
2015_5_6383_1001,4,17
2015_5_6387_1001,4,13
2015_5_6388_1001,3,18
2015_5_6389_1001,3,18
2015_5_6390_1001,2,15
2015_5_6391_1001,1,8
2015_5_6392_1001,2,16
2015_5_6396_1001,2,16
2015_5_6397_1001,4,17
2015_5_6398_1001,2,16
2015_5_640_1001,0,5
2015_5_6401_1001,2,15
2015_5_6402_1001,0,14
2015_5_6403_1001,4,17
2015_5_6405_1001,1,19
2015_5_6407_1001,3,18
2015_5_6408_1001,3,11
2015_5_6409_1001,2,16
2015_5_641_1001,4,17
2015_5_6410_1001,1,19
2015_5_6411_1001,1,19
2015_5_6412_1001,1,19
2015_5_6413_1001,1,19
2015_5_6414_1001,4,12
2015_5_6416_1001,1,19
2015_5_6417_1001,4,17
2015_5_6420_1001,2,15
2015_5_6421_1001,1,19
2015_5_6422_1001,3,18
2015_5_6423_1001,3,18
2015_5_6424_1001,3,18
2015_5_6425_1001,4,17
2015_5_6426_1001,4,17
2015_5_6427_1001,4,17
2015_5_6428_1001,3,18
2015_5_6429_1001,4,17
2015_5_643_1001,1,19
2015_5_6431_1001,4,17
2015_5_6432_1001,4,17
2015_5_6434_1001,1,19
2015_5_6437_1001,1,19
2015_5_6438_1001,4,17
2015_5_6440_1001,0,10
2015_5_6442_1001,2,15
2015_5_6443_1001,3,18
2015_5_6445_1001,3,5
2015_5_6446_1001,2,15
2015_5_6447_1001,4,17
2015_5_6448_1001,4,13
2015_5_6449_1001,2,16
2015_5_645_1001,1,19
2015_5_6450_1001,1,19
2015_5_6453_1001,4,13
2015_5_6454_1001,4,13
2015_5_6455_1001,4,17
2015_5_6456_1001,4,17
2015_5_6457_1001,4,17
2015_5_6458_1001,3,6
2015_5_6459_1001,4,17
2015_5_646_1001,4,17
2015_5_6460_1001,4,17
2015_5_6462_1001,2,16
2015_5_6463_1001,4,17
2015_5_6464_1001,1,19
2015_5_6466_1001,4,13
2015_5_6467_1001,4,12
2015_5_6468_1001,4,12
2015_5_6469_1001,4,17
2015_5_647_1001,1,19
2015_5_6471_1001,3,18
2015_5_6473_1001,1,19
2015_5_6475_1001,1,19
2015_5_6477_1001,3,18
2015_5_648_1001,0,14
2015_5_6480_1001,1,8
2015_5_6481_1001,3,18
2015_5_6482_1001,4,17
2015_5_6483_1001,2,16
2015_5_6485_1001,3,18
2015_5_6486_1001,0,14
2015_5_6487_1001,4,17
2015_5_6488_1001,3,18
2015_5_649_1001,4,13
2015_5_6491_1001,1,19
2015_5_6492_1001,4,17
2015_5_6494_1001,4,12
2015_5_6496_1001,1,19
2015_5_6497_1001,4,17
2015_5_6498_1001,1,19
2015_5_6499_1001,3,18
2015_5_65_1001,4,17
2015_5_650_1001,0,10
2015_5_6501_1001,3,18
2015_5_6502_1001,3,18
2015_5_6503_1001,2,7
2015_5_6504_1001,3,18
2015_5_6506_1001,2,7
2015_5_6508_1001,0,10
2015_5_6509_1001,1,19
2015_5_651_1001,1,19
2015_5_6510_1001,0,10
2015_5_6511_1001,3,11
2015_5_6512_1001,0,14
2015_5_6513_1001,2,16
2015_5_6514_1001,2,15
2015_5_6515_1001,4,17
2015_5_6516_1001,4,17
2015_5_6517_1001,1,19
2015_5_6520_1001,4,17
2015_5_6521_1001,1,19
2015_5_6522_1001,2,15
2015_5_6523_1001,3,18
2015_5_6524_1001,1,19
2015_5_6525_1001,3,18
2015_5_6526_1001,4,17
2015_5_6527_1001,4,17
2015_5_6529_1001,4,12
2015_5_653_1001,3,18
2015_5_6530_1001,0,14
2015_5_6531_1001,2,16
2015_5_6532_1001,2,16
2015_5_6533_1001,1,8
2015_5_6536_1001,3,18
2015_5_6537_1001,4,17
2015_5_6539_1001,4,12
2015_5_654_1001,0,14
2015_5_6541_1001,4,17
2015_5_6543_1001,4,17
2015_5_6545_1001,3,18
2015_5_6546_1001,2,16
2015_5_6547_1001,2,15
2015_5_6548_1001,2,15
2015_5_6549_1001,1,19
2015_5_6550_1001,4,17
2015_5_6551_1001,4,17
2015_5_6552_1001,1,8
2015_5_6553_1001,1,8
2015_5_6554_1001,1,19
2015_5_6555_1001,2,16
2015_5_6556_1001,3,18
2015_5_6558_1001,4,17
2015_5_656_1001,2,7
2015_5_6560_1001,3,18
2015_5_6561_1001,2,15
2015_5_6563_1001,3,6
2015_5_6564_1001,3,18
2015_5_6565_1001,4,17
2015_5_6566_1001,4,12
2015_5_6567_1001,2,16
2015_5_6568_1001,3,18
2015_5_6569_1001,2,16
2015_5_657_1001,2,16
2015_5_6570_1001,2,16
2015_5_6572_1001,2,16
2015_5_6575_1001,2,16
2015_5_6576_1001,0,14
2015_5_6577_1001,2,16
2015_5_6578_1001,0,10
2015_5_6579_1001,3,18
2015_5_658_1001,4,13
2015_5_6580_1001,4,17
2015_5_6582_1001,3,18
2015_5_6584_1001,4,9
2015_5_6585_1001,2,16
2015_5_6586_1001,4,12
2015_5_6587_1001,2,1
2015_5_6588_1001,2,16
2015_5_659_1001,1,19
2015_5_6590_1001,0,14
2015_5_6591_1001,3,18
2015_5_6592_1001,4,13
2015_5_6593_1001,1,19
2015_5_6594_1001,3,18
2015_5_6595_1001,2,16
2015_5_6596_1001,4,17
2015_5_6597_1001,4,17
2015_5_6599_1001,4,13
2015_5_6600_1001,1,8
2015_5_6601_1001,2,16
2015_5_6602_1001,1,19
2015_5_6603_1001,2,16
2015_5_6604_1001,2,16
2015_5_6605_1001,2,15
2015_5_6606_1001,4,17
2015_5_6607_1001,3,18
2015_5_6608_1001,1,8
2015_5_6609_1001,3,18
2015_5_661_1001,3,18
2015_5_6610_1001,2,7
2015_5_6611_1001,3,6
2015_5_6613_1001,1,8
2015_5_6614_1001,1,19
2015_5_6615_1001,4,17
2015_5_6618_1001,4,17
2015_5_662_1001,2,16
2015_5_6620_1001,4,17
2015_5_6622_1001,4,9
2015_5_6623_1001,2,15
2015_5_6624_1001,4,13
2015_5_6625_1001,4,17
2015_5_6627_1001,3,18
2015_5_6628_1001,1,19
2015_5_6629_1001,0,10
2015_5_663_1001,1,19
2015_5_6630_1001,2,15
2015_5_6631_1001,0,14
2015_5_6632_1001,1,19
2015_5_6633_1001,3,18
2015_5_6634_1001,3,18
2015_5_6635_1001,3,11
2015_5_6636_1001,4,17
2015_5_6639_1001,1,19
2015_5_664_1001,3,18
2015_5_6643_1001,1,19
2015_5_6644_1001,2,7
2015_5_6645_1001,4,17
2015_5_6647_1001,4,17
2015_5_6648_1001,4,12
2015_5_6649_1001,3,18
2015_5_665_1001,4,17
2015_5_6650_1001,4,17
2015_5_6652_1001,4,12
2015_5_6653_1001,4,17
2015_5_6657_1001,3,18
2015_5_6659_1001,0,14
2015_5_6660_1001,1,19
2015_5_6662_1001,1,19
2015_5_6664_1001,1,19
2015_5_6665_1001,1,19
2015_5_6666_1001,1,19
2015_5_6667_1001,3,6
2015_5_6668_1001,2,7
2015_5_6669_1001,2,7
2015_5_667_1001,4,17
2015_5_6670_1001,2,7
2015_5_6671_1001,4,9
2015_5_6672_1001,3,18
2015_5_6673_1001,2,7
2015_5_6674_1001,3,11
2015_5_6675_1001,3,18
2015_5_6676_1001,4,17
2015_5_6678_1001,4,17
2015_5_668_1001,4,17
2015_5_6680_1001,1,19
2015_5_6681_1001,0,10
2015_5_6682_1001,4,12
2015_5_6684_1001,4,12
2015_5_6685_1001,4,17
2015_5_6687_1001,4,12
2015_5_6688_1001,2,16
2015_5_6689_1001,1,19
2015_5_669_1001,1,19
2015_5_6690_1001,2,16
2015_5_6691_1001,4,17
2015_5_6692_1001,3,11
2015_5_6693_1001,4,9
2015_5_6695_1001,2,15
2015_5_6696_1001,1,19
2015_5_6698_1001,2,16
2015_5_6699_1001,3,18
2015_5_67_1001,4,17
2015_5_670_1001,1,19
2015_5_6701_1001,1,19
2015_5_6702_1001,3,11
2015_5_6703_1001,3,18
2015_5_6704_1001,4,17
2015_5_6705_1001,0,14
2015_5_6706_1001,1,19
2015_5_6707_1001,2,15
2015_5_6709_1001,3,18
2015_5_671_1001,1,19
2015_5_6710_1001,1,19
2015_5_6711_1001,4,12
2015_5_6712_1001,1,19
2015_5_6714_1001,3,18
2015_5_6715_1001,2,15
2015_5_6716_1001,4,17
2015_5_6717_1001,4,17
2015_5_6719_1001,2,16
2015_5_6720_1001,3,4
2015_5_6722_1001,1,19
2015_5_6724_1001,2,16
2015_5_6725_1001,4,13
2015_5_6726_1001,0,14
2015_5_6728_1001,4,12
2015_5_673_1001,1,19
2015_5_6730_1001,1,19
2015_5_6733_1001,2,15
2015_5_6734_1001,2,2
2015_5_6735_1001,1,19
2015_5_6737_1001,1,19
2015_5_6738_1001,2,15
2015_5_6739_1001,2,1
2015_5_6740_1001,4,17
2015_5_6742_1001,4,12
2015_5_6744_1001,1,19
2015_5_6746_1001,1,19
2015_5_6748_1001,1,19
2015_5_675_1001,2,16
2015_5_6750_1001,2,16
2015_5_6751_1001,4,17
2015_5_6752_1001,1,19
2015_5_6755_1001,2,16
2015_5_6756_1001,4,17
2015_5_6757_1001,1,19
2015_5_6759_1001,3,18
2015_5_676_1001,1,19
2015_5_6760_1001,4,17
2015_5_6762_1001,2,16
2015_5_6763_1001,4,9
2015_5_6764_1001,3,18
2015_5_6765_1001,2,7
2015_5_6766_1001,2,16
2015_5_6767_1001,3,18
2015_5_6768_1001,1,19
2015_5_677_1001,4,12
2015_5_6770_1001,3,6
2015_5_6771_1001,2,16
2015_5_6772_1001,2,15
2015_5_6773_1001,2,15
2015_5_6775_1001,2,16
2015_5_6778_1001,4,17
2015_5_6779_1001,2,16
2015_5_678_1001,4,12
2015_5_6780_1001,2,16
2015_5_6781_1001,4,13
2015_5_6782_1001,3,18
2015_5_6783_1001,1,8
2015_5_6785_1001,4,17
2015_5_6787_1001,0,14
2015_5_6791_1001,1,8
2015_5_6792_1001,3,18
2015_5_6793_1001,3,18
2015_5_6794_1001,2,16
2015_5_6795_1001,3,5
2015_5_6796_1001,4,17
2015_5_6797_1001,1,19
2015_5_6799_1001,3,18
2015_5_68_1001,4,9
2015_5_680_1001,4,17
2015_5_6801_1001,3,11
2015_5_6805_1001,3,11
2015_5_6806_1001,4,13
2015_5_6807_1001,4,13
2015_5_6809_1001,4,17
2015_5_681_1001,3,5
2015_5_6811_1001,4,13
2015_5_6812_1001,0,14
2015_5_6813_1001,1,19
2015_5_6816_1001,3,4
2015_5_6817_1001,1,8
2015_5_6819_1001,2,15
2015_5_682_1001,4,9
2015_5_6820_1001,2,7
2015_5_6821_1001,2,15
2015_5_6824_1001,1,8
2015_5_6826_1001,2,16
2015_5_6827_1001,2,16
2015_5_6829_1001,1,8
2015_5_683_1001,4,17
2015_5_6830_1001,1,19
2015_5_6831_1001,4,12
2015_5_6833_1001,3,18
2015_5_6834_1001,2,16
2015_5_6835_1001,4,17
2015_5_6838_1001,3,11
2015_5_6839_1001,0,14
2015_5_6840_1001,1,19
2015_5_6841_1001,1,19
2015_5_6842_1001,4,17
2015_5_6843_1001,4,17
2015_5_6845_1001,2,16
2015_5_6846_1001,4,17
2015_5_6848_1001,2,16
2015_5_6849_1001,2,16
2015_5_685_1001,1,19
2015_5_6850_1001,3,18
2015_5_6851_1001,3,5
2015_5_6852_1001,3,18
2015_5_6853_1001,2,16
2015_5_6854_1001,3,18
2015_5_6855_1001,2,15
2015_5_6856_1001,2,16
2015_5_6857_1001,4,13
2015_5_6858_1001,2,16
2015_5_6859_1001,2,16
2015_5_686_1001,4,17
2015_5_6862_1001,1,19
2015_5_6863_1001,4,17
2015_5_6865_1001,2,16
2015_5_6866_1001,3,6
2015_5_6867_1001,4,13
2015_5_6868_1001,4,17
2015_5_687_1001,4,17
2015_5_6870_1001,2,15
2015_5_6871_1001,2,15
2015_5_6872_1001,2,15
2015_5_6873_1001,2,15
2015_5_6874_1001,1,8
2015_5_6876_1001,2,15
2015_5_6877_1001,2,16
2015_5_6878_1001,4,17
2015_5_6879_1001,3,6
2015_5_688_1001,2,16
2015_5_6880_1001,0,14
2015_5_6881_1001,2,16
2015_5_6883_1001,1,19
2015_5_6887_1001,3,18
2015_5_6888_1001,1,19
2015_5_689_1001,0,10
2015_5_6890_1001,2,15
2015_5_6891_1001,4,13
2015_5_6892_1001,2,15
2015_5_6893_1001,3,18
2015_5_6894_1001,3,18
2015_5_6895_1001,4,17
2015_5_6896_1001,3,18
2015_5_6897_1001,3,18
2015_5_6898_1001,2,16
2015_5_6899_1001,4,9
2015_5_69_1001,4,17
2015_5_690_1001,0,14
2015_5_6900_1001,1,19
2015_5_6902_1001,4,13
2015_5_6903_1001,2,15
2015_5_6905_1001,0,14
2015_5_6906_1001,1,19
2015_5_6909_1001,2,16
2015_5_6910_1001,2,16
2015_5_6911_1001,0,10
2015_5_6914_1001,2,15
2015_5_6915_1001,2,16
2015_5_6916_1001,3,18
2015_5_6917_1001,3,11
2015_5_6919_1001,1,19
2015_5_692_1001,3,18
2015_5_6920_1001,0,10
2015_5_6921_1001,3,18
2015_5_6922_1001,3,18
2015_5_6923_1001,3,18
2015_5_6924_1001,2,15
2015_5_6927_1001,3,5
2015_5_6928_1001,2,16
2015_5_6929_1001,0,14
2015_5_693_1001,1,19
2015_5_6930_1001,1,19
2015_5_6931_1001,1,19
2015_5_6932_1001,2,15
2015_5_6933_1001,1,8
2015_5_6935_1001,2,15
2015_5_6936_1001,3,11
2015_5_6937_1001,2,15
2015_5_6938_1001,4,17
2015_5_6939_1001,2,15
2015_5_6940_1001,3,18
2015_5_6941_1001,1,19
2015_5_6942_1001,4,17
2015_5_6944_1001,4,9
2015_5_6945_1001,3,18
2015_5_6947_1001,3,18
2015_5_6948_1001,2,7
2015_5_6949_1001,2,15
2015_5_695_1001,4,17
2015_5_6950_1001,3,11
2015_5_6951_1001,4,17
2015_5_6953_1001,2,16
2015_5_6954_1001,4,17
2015_5_6956_1001,2,16
2015_5_6957_1001,4,12
2015_5_6959_1001,3,4
2015_5_6960_1001,4,17
2015_5_6961_1001,3,18
2015_5_6962_1001,2,7
2015_5_6966_1001,1,19
2015_5_6968_1001,4,17
2015_5_697_1001,4,17
2015_5_6970_1001,2,15
2015_5_6971_1001,1,19
2015_5_6974_1001,1,8
2015_5_6975_1001,1,19
2015_5_6977_1001,1,8
2015_5_6978_1001,3,18
2015_5_6979_1001,2,16
2015_5_698_1001,4,17
2015_5_6980_1001,4,17
2015_5_6982_1001,1,19
2015_5_6984_1001,4,17
2015_5_6985_1001,3,18
2015_5_6986_1001,2,15
2015_5_6987_1001,4,13
2015_5_6988_1001,4,13
2015_5_6989_1001,4,13
2015_5_699_1001,3,18
2015_5_6990_1001,1,19
2015_5_6992_1001,4,13
2015_5_6993_1001,4,13
2015_5_6994_1001,4,13
2015_5_6996_1001,4,13
2015_5_6997_1001,1,19
2015_5_6998_1001,1,19
2015_5_7_1001,0,10
2015_5_700_1001,4,9
2015_5_7000_1001,4,12
2015_5_7003_1001,2,16
2015_5_7004_1001,2,15
2015_5_7005_1001,2,15
2015_5_7006_1001,4,9
2015_5_7008_1001,2,16
2015_5_7009_1001,4,12
2015_5_701_1001,0,5
2015_5_7011_1001,1,19
2015_5_7012_1001,1,19
2015_5_7014_1001,2,15
2015_5_7015_1001,2,15
2015_5_702_1001,4,17
2015_5_7020_1001,1,19
2015_5_7022_1001,0,14
2015_5_7027_1001,3,18
2015_5_703_1001,4,17
2015_5_7030_1001,3,11
2015_5_7031_1001,4,17
2015_5_7032_1001,1,8
2015_5_7033_1001,1,19
2015_5_7034_1001,2,2
2015_5_7035_1001,1,8
2015_5_7036_1001,1,19
2015_5_7037_1001,2,16
2015_5_7038_1001,1,19
2015_5_704_1001,4,17
2015_5_7042_1001,1,19
2015_5_7043_1001,3,18
2015_5_7046_1001,2,7
2015_5_7047_1001,4,17
2015_5_7049_1001,2,16
2015_5_705_1001,4,17
2015_5_7050_1001,4,12
2015_5_7051_1001,3,11
2015_5_7052_1001,4,17
2015_5_7054_1001,3,18
2015_5_7055_1001,0,5
2015_5_7056_1001,3,18
2015_5_7057_1001,2,16
2015_5_7058_1001,2,15
2015_5_7059_1001,4,17
2015_5_706_1001,3,18
2015_5_7061_1001,1,19
2015_5_7063_1001,3,18
2015_5_7065_1001,2,15
2015_5_7066_1001,3,18
2015_5_7067_1001,0,14
2015_5_7068_1001,0,14
2015_5_7069_1001,4,17
2015_5_707_1001,2,7
2015_5_7071_1001,0,14
2015_5_7072_1001,4,12
2015_5_7073_1001,3,18
2015_5_7074_1001,1,19
2015_5_7075_1001,0,10
2015_5_7078_1001,3,5
2015_5_7079_1001,2,16
2015_5_708_1001,2,16
2015_5_7080_1001,2,16
2015_5_7081_1001,3,5
2015_5_7084_1001,2,16
2015_5_7085_1001,4,12
2015_5_7087_1001,4,13
2015_5_7088_1001,1,19
2015_5_709_1001,1,19
2015_5_7094_1001,4,17
2015_5_7095_1001,2,15
2015_5_7096_1001,2,15
2015_5_7097_1001,2,16
2015_5_7098_1001,1,8
2015_5_71_1001,1,19
2015_5_7101_1001,2,16
2015_5_7102_1001,4,13
2015_5_7103_1001,4,17
2015_5_7104_1001,2,15
2015_5_7105_1001,4,13
2015_5_7106_1001,4,17
2015_5_7108_1001,2,15
2015_5_7109_1001,2,16
2015_5_711_1001,1,19
2015_5_7110_1001,1,19
2015_5_7111_1001,3,6
2015_5_7112_1001,2,16
2015_5_7114_1001,4,17
2015_5_7117_1001,3,18
2015_5_7118_1001,3,18
2015_5_7119_1001,2,16
2015_5_712_1001,4,17
2015_5_7120_1001,3,11
2015_5_7121_1001,2,16
2015_5_7122_1001,1,19
2015_5_7124_1001,3,18
2015_5_7125_1001,4,17
2015_5_7127_1001,3,18
2015_5_7129_1001,1,19
2015_5_713_1001,4,17
2015_5_7130_1001,4,17
2015_5_7132_1001,4,17
2015_5_7134_1001,4,12
2015_5_7135_1001,2,16
2015_5_7136_1001,0,14
2015_5_7138_1001,3,18
2015_5_7139_1001,4,17
2015_5_7141_1001,3,18
2015_5_7143_1001,4,13
2015_5_7144_1001,2,16
2015_5_7146_1001,3,11
2015_5_7147_1001,3,4
2015_5_7149_1001,2,2
2015_5_7150_1001,4,17
2015_5_7151_1001,4,17
2015_5_7153_1001,4,9
2015_5_7154_1001,4,13
2015_5_7157_1001,1,8
2015_5_7158_1001,1,8
2015_5_7159_1001,2,16
2015_5_7160_1001,4,12
2015_5_7161_1001,3,18
2015_5_7163_1001,1,8
2015_5_7164_1001,1,19
2015_5_7165_1001,1,8
2015_5_7166_1001,4,13
2015_5_7167_1001,1,19
2015_5_7168_1001,2,16
2015_5_7169_1001,1,19
2015_5_717_1001,3,18
2015_5_7171_1001,2,16
2015_5_7172_1001,2,16
2015_5_7173_1001,1,19
2015_5_7175_1001,3,18
2015_5_7176_1001,2,7
2015_5_7177_1001,1,8
2015_5_7178_1001,2,16
2015_5_7180_1001,2,15
2015_5_7181_1001,2,16
2015_5_7182_1001,1,19
2015_5_7183_1001,2,16
2015_5_7184_1001,1,19
2015_5_7185_1001,4,13
2015_5_7186_1001,4,12
2015_5_7187_1001,2,16
2015_5_719_1001,3,18
2015_5_7190_1001,4,17
2015_5_7192_1001,4,9
2015_5_7193_1001,0,14
2015_5_7194_1001,2,16
2015_5_7195_1001,1,19
2015_5_7196_1001,4,13
2015_5_7197_1001,0,14
2015_5_7198_1001,3,5
2015_5_7199_1001,0,14
2015_5_72_1001,3,18
2015_5_720_1001,1,19
2015_5_7200_1001,4,17
2015_5_7201_1001,3,6
2015_5_7204_1001,1,19
2015_5_7205_1001,4,12
2015_5_7206_1001,4,17
2015_5_7208_1001,2,16
2015_5_7209_1001,0,10
2015_5_721_1001,1,19
2015_5_7210_1001,3,18
2015_5_7214_1001,4,13
2015_5_7215_1001,3,18
2015_5_7216_1001,1,19
2015_5_7217_1001,4,13
2015_5_7218_1001,3,6
2015_5_7219_1001,2,16
2015_5_722_1001,4,17
2015_5_7220_1001,4,17
2015_5_7222_1001,0,14
2015_5_7223_1001,4,13
2015_5_7224_1001,4,17
2015_5_7225_1001,1,19
2015_5_7226_1001,2,16
2015_5_7227_1001,4,17
2015_5_7229_1001,1,19
2015_5_723_1001,4,17
2015_5_7230_1001,1,19
2015_5_7232_1001,1,19
2015_5_7233_1001,2,16
2015_5_7234_1001,3,18
2015_5_7235_1001,2,15
2015_5_7236_1001,1,19
2015_5_7238_1001,2,16
2015_5_7239_1001,1,19
2015_5_7240_1001,2,16
2015_5_7241_1001,1,19
2015_5_7242_1001,3,5
2015_5_7244_1001,1,19
2015_5_7245_1001,2,16
2015_5_7246_1001,2,16
2015_5_7247_1001,0,10
2015_5_7248_1001,0,10
2015_5_7249_1001,3,18
2015_5_7250_1001,3,11
2015_5_7251_1001,1,19
2015_5_7252_1001,0,10
2015_5_7253_1001,0,14
2015_5_7254_1001,1,19
2015_5_7256_1001,4,9
2015_5_7257_1001,3,18
2015_5_7258_1001,4,13
2015_5_7259_1001,1,19
2015_5_726_1001,4,17
2015_5_7261_1001,1,8
2015_5_7262_1001,0,14
2015_5_7263_1001,4,12
2015_5_7264_1001,1,19
2015_5_7265_1001,1,8
2015_5_7266_1001,2,16
2015_5_7267_1001,0,14
2015_5_7268_1001,2,15
2015_5_7269_1001,0,14
2015_5_727_1001,4,17
2015_5_7270_1001,3,18
2015_5_7271_1001,1,8
2015_5_7273_1001,1,19
2015_5_7275_1001,4,17
2015_5_7277_1001,4,9
2015_5_7278_1001,3,18
2015_5_7279_1001,2,16
2015_5_7280_1001,3,18
2015_5_7281_1001,4,13
2015_5_7282_1001,1,8
2015_5_7283_1001,4,13
2015_5_7284_1001,3,18
2015_5_7286_1001,4,17
2015_5_7288_1001,1,8
2015_5_7289_1001,1,19
2015_5_729_1001,4,17
2015_5_7290_1001,0,14
2015_5_7291_1001,1,19
2015_5_7292_1001,2,15
2015_5_7293_1001,4,17
2015_5_7295_1001,2,16
2015_5_7297_1001,3,18
2015_5_7298_1001,0,14
2015_5_7299_1001,0,14
2015_5_73_1001,1,19
2015_5_7300_1001,1,19
2015_5_7301_1001,2,7
