ID,categories,sub_categories
2015_5_6504_1001,2,7
2015_5_6511_1001,1,1
2015_5_6512_1001,3,6
2015_5_6513_1001,4,18
2015_5_6516_1001,5,4
2015_5_6517_1001,2,10
2015_5_6522_1001,5,7
2015_5_6524_1001,2,4
2015_5_6526_1001,5,7
2015_5_6536_1001,1,10
2015_5_6548_1001,4,19
2015_5_6550_1001,5,20
2015_5_6552_1001,2,1
2015_5_6563_1001,1,13
2015_5_6566_1001,5,20
2015_5_6567_1001,4,4
2015_5_6568_1001,1,15
2015_5_6575_1001,4,20
2015_5_6584_1001,5,13
2015_5_6588_1001,4,9
2015_5_6592_1001,5,4
2015_5_6593_1001,1,9
2015_5_6594_1001,3,9
2015_5_6595_1001,4,17
2015_5_6597_1001,5,9
2015_5_6599_1001,3,15
2015_5_6600_1001,2,10
2015_5_6608_1001,2,11
2015_5_6610_1001,2,9
2015_5_6614_1001,2,15
2015_5_6628_1001,2,4
2015_5_6631_1001,3,15
2015_5_6633_1001,1,15
2015_5_6643_1001,2,15
2015_5_6648_1001,3,10
2015_5_6652_1001,5,8
2015_5_6660_1001,2,9
2015_5_6662_1001,2,16
2015_5_6664_1001,2,16
2015_5_6673_1001,4,16
2015_5_6680_1001,2,15
2015_5_6684_1001,3,15
2015_5_6689_1001,2,20
2015_5_6692_1001,1,8
2015_5_6701_1001,2,4
2015_5_6709_1001,3,15
2015_5_6717_1001,5,13
2015_5_6722_1001,2,15
2015_5_6730_1001,3,5
2015_5_6737_1001,4,2
2015_5_6739_1001,4,5
2015_5_6744_1001,2,13
2015_5_6748_1001,2,14
2015_5_6752_1001,2,18
2015_5_6755_1001,4,20
2015_5_6756_1001,5,9
2015_5_6757_1001,2,20
2015_5_6763_1001,5,7
2015_5_6764_1001,1,7
2015_5_6767_1001,1,15
2015_5_6768_1001,2,14
2015_5_6770_1001,1,9
2015_5_6791_1001,2,14
2015_5_6796_1001,5,7
2015_5_6797_1001,2,12
2015_5_6806_1001,1,18
2015_5_6819_1001,5,15
2015_5_6824_1001,2,15
2015_5_6826_1001,4,11
2015_5_6833_1001,1,7
2015_5_6834_1001,4,20
2015_5_6838_1001,1,15
2015_5_6842_1001,1,20
2015_5_6843_1001,5,19
2015_5_6846_1001,5,18
2015_5_6849_1001,4,17
2015_5_6857_1001,5,15
2015_5_6859_1001,4,17
2015_5_6862_1001,2,15
2015_5_6865_1001,4,14
2015_5_6866_1001,1,9
2015_5_6873_1001,4,20
2015_5_6874_1001,2,15
2015_5_6877_1001,4,17
2015_5_6881_1001,2,15
2015_5_6883_1001,1,9
2015_5_6891_1001,5,18
2015_5_6895_1001,5,9
2015_5_6897_1001,5,18
2015_5_6909_1001,4,20
2015_5_6911_1001,3,8
2015_5_6914_1001,4,9
2015_5_6916_1001,1,19
2015_6_2804_1001,2,11
2015_6_2808_1001,3,18
2015_6_2817_1001,3,9
2015_6_2820_1001,5,7
2015_6_2822_1001,2,6
2015_6_2824_1001,2,9
2015_6_2830_1001,5,19
2015_6_2834_1001,4,1
2015_6_2835_1001,4,20
2015_6_2853_1001,5,13
2015_6_2856_1001,2,1
2015_6_2857_1001,3,9
2015_6_2864_1001,1,18
2015_6_2865_1001,4,15
2015_6_2868_1001,5,7
2015_6_2878_1001,3,15
2015_6_2884_1001,2,4
2015_6_2885_1001,4,20
2015_6_2888_1001,3,20
2015_6_2889_1001,2,4
2015_6_2898_1001,2,20
2015_6_2902_1001,4,20
2015_6_2908_1001,4,13
2015_6_2917_1001,3,9
2015_6_2920_1001,3,17
2015_6_2923_1001,2,11
2015_6_2925_1001,1,7
2015_6_2936_1001,4,9
2015_6_2940_1001,5,10
2015_6_2944_1001,2,9
2015_6_2947_1001,4,7
2015_6_2953_1001,1,14
2015_6_2954_1001,5,16
2015_6_2959_1001,3,14
2015_6_2962_1001,2,19
2015_6_2971_1001,2,20
2015_6_2984_1001,2,7
2015_6_2985_1001,4,14
2015_6_2992_1001,4,19
2015_6_2995_1001,2,20
2015_6_3420_1001,4,8
2015_6_3421_1001,5,1
2015_6_3424_1001,2,7
2015_6_3425_1001,5,4
2015_6_3431_1001,1,13
2015_6_3432_1001,5,7
2015_6_3436_1001,1,11
2015_6_3438_1001,2,9
2015_6_3440_1001,1,17
2015_6_3444_1001,1,20
2015_6_3446_1001,5,19
2015_6_3449_1001,2,18
2015_6_3453_1001,1,7
2015_6_3455_1001,1,9
2015_6_3459_1001,2,14
2015_6_3473_1001,5,15
2015_6_3486_1001,2,15
2015_6_3490_1001,2,9
2015_6_3491_1001,4,17
2015_6_3494_1001,2,16
2015_6_3495_1001,5,19
2015_1_4_1001,4,18
2015_1_5_1001,3,11
2015_1_6_1001,3,18
2015_1_16_1001,5,15
2015_1_21_1001,5,15
2015_1_27_1001,5,4
2015_1_30_1001,4,4
2015_1_34_1001,5,17
2015_1_35_1001,5,7
2015_1_39_1001,2,9
2015_1_42_1001,5,10
2015_1_44_1001,3,7
2015_1_45_1001,1,15
2015_1_50_1001,4,15
2015_1_52_1001,4,15
2015_1_53_1001,5,20
2015_1_61_1001,3,13
2015_1_69_1001,2,20
2015_1_71_1001,4,7
2015_1_72_1001,1,15
2015_1_76_1001,5,1
2015_1_77_1001,3,15
2015_1_78_1001,2,15
2015_1_90_1001,1,5
2015_1_91_1001,2,7
2015_1_95_1001,4,8
2015_1_96_1001,4,9
2015_1_107_1001,1,18
2015_1_109_1001,5,1
2015_1_112_1001,4,7
2015_1_113_1001,4,15
2015_1_117_1001,2,8
2015_1_118_1001,5,6
2015_1_121_1001,5,18
2015_1_123_1001,1,16
2015_1_126_1001,4,14
2015_1_133_1001,5,20
2015_1_134_1001,5,8
2015_1_137_1001,5,5
2015_1_138_1001,5,5
2015_1_143_1001,2,1
2015_1_148_1001,5,20
2015_1_152_1001,4,17
2015_1_155_1001,3,13
2015_1_162_1001,5,8
2015_1_164_1001,5,16
2015_1_166_1001,3,9
2015_1_170_1001,5,14
2015_1_175_1001,1,9
2015_1_176_1001,5,10
2015_1_180_1001,1,15
2015_1_182_1001,5,15
2015_1_188_1001,5,7
2015_1_190_1001,1,9
2015_1_192_1001,1,6
2015_1_195_1001,3,17
2015_1_199_1001,3,15
2015_1_200_1001,2,15
2015_1_207_1001,3,9
2015_1_211_1001,5,14
2015_1_218_1001,3,15
2015_1_219_1001,2,8
2015_1_224_1001,2,14
2015_1_230_1001,2,7
2015_1_235_1001,4,15
2015_1_239_1001,5,10
2015_1_246_1001,5,4
2015_1_248_1001,5,14
2015_1_252_1001,4,15
2015_1_254_1001,2,14
2015_1_263_1001,1,9
2015_1_268_1001,5,15
2015_1_272_1001,1,13
2015_1_275_1001,5,13
2015_1_279_1001,5,20
2015_1_287_1001,5,20
2015_1_292_1001,3,9
2015_1_294_1001,2,11
2015_1_296_1001,3,5
2015_1_299_1001,3,13
2015_1_300_1001,5,8
2015_1_304_1001,5,15
2015_1_305_1001,1,8
2015_1_307_1001,5,13
2015_1_313_1001,5,20
2015_1_319_1001,5,15
2015_1_326_1001,5,9
2015_1_331_1001,2,6
2015_1_337_1001,3,18
2015_1_338_1001,1,17
2015_1_340_1001,1,15
2015_1_345_1001,1,15
2015_1_347_1001,2,20
2015_1_354_1001,4,14
2015_1_356_1001,1,20
2015_1_362_1001,2,8
2015_1_367_1001,1,7
2015_1_369_1001,2,15
2015_1_373_1001,4,1
2015_1_376_1001,4,11
2015_1_380_1001,2,15
2015_1_383_1001,2,15
2015_1_385_1001,5,1
2015_1_387_1001,5,1
2015_1_389_1001,1,15
2015_1_395_1001,2,14
2015_1_399_1001,5,10
2015_1_400_1001,4,4
2015_1_403_1001,2,17
2015_1_404_1001,2,20
2015_1_407_1001,1,15
2015_1_408_1001,4,20
2015_1_409_1001,3,8
2015_1_411_1001,3,14
2015_1_412_1001,4,20
2015_1_413_1001,1,14
2015_1_414_1001,2,14
2015_1_415_1001,4,9
2015_1_430_1001,2,7
2015_1_432_1001,1,20
2015_1_435_1001,5,8
2015_1_436_1001,3,15
2015_1_437_1001,2,7
2015_1_441_1001,5,15
2015_1_443_1001,5,14
2015_1_450_1001,5,11
2015_1_452_1001,2,15
2015_1_454_1001,4,15
2015_1_455_1001,5,15
2015_1_456_1001,5,11
2015_1_469_1001,5,11
2015_1_474_1001,1,15
2015_1_476_1001,5,16
2015_1_481_1001,3,14
2015_1_491_1001,5,11
2015_1_494_1001,1,15
2015_1_497_1001,3,9
2015_1_499_1001,4,13
2015_1_501_1001,5,13
2015_1_504_1001,5,15
2015_1_511_1001,5,16
2015_1_518_1001,4,4
2015_1_519_1001,5,15
2015_1_522_1001,5,15
2015_1_523_1001,5,15
2015_1_525_1001,5,8
2015_1_530_1001,5,18
2015_1_547_1001,4,11
2015_1_551_1001,5,15
2015_1_553_1001,1,5
2015_1_554_1001,1,4
2015_1_555_1001,1,15
2015_1_558_1001,3,7
2015_1_563_1001,5,8
2015_1_568_1001,4,8
2015_1_570_1001,1,18
2015_1_571_1001,1,9
2015_1_574_1001,5,15
2015_1_576_1001,5,14
2015_1_580_1001,4,15
2015_1_581_1001,2,14
2015_1_589_1001,4,13
2015_1_590_1001,2,7
2015_1_592_1001,5,15
2015_1_602_1001,4,15
2015_1_609_1001,5,8
2015_1_610_1001,5,15
2015_1_614_1001,2,17
2015_1_617_1001,4,11
2015_1_618_1001,5,15
2015_1_621_1001,1,14
2015_1_622_1001,5,15
2015_1_625_1001,1,20
2015_1_626_1001,5,7
2015_1_633_1001,3,8
2015_1_636_1001,5,14
2015_1_648_1001,2,1
2015_1_653_1001,2,8
2015_1_655_1001,1,7
2015_1_657_1001,5,15
2015_1_659_1001,4,14
2015_1_661_1001,5,16
2015_1_662_1001,2,15
2015_1_672_1001,1,20
2015_1_673_1001,3,15
2015_1_679_1001,5,8
2015_1_684_1001,3,9
2015_1_685_1001,5,8
2015_1_689_1001,5,13
2015_1_695_1001,1,15
2015_1_697_1001,5,14
2015_1_699_1001,5,14
2015_1_702_1001,4,15
2015_1_705_1001,1,4
2015_1_706_1001,5,18
2015_1_711_1001,5,15
2015_1_715_1001,3,19
2015_1_718_1001,1,11
2015_1_719_1001,2,2
2015_1_721_1001,4,7
2015_1_725_1001,2,17
2015_1_734_1001,3,6
2015_1_740_1001,4,19
2015_1_741_1001,4,14
2015_1_745_1001,5,9
2015_1_751_1001,2,7
2015_1_757_1001,5,15
2015_1_758_1001,5,15
2015_1_766_1001,2,11
2015_1_768_1001,3,20
2015_1_769_1001,5,20
2015_1_778_1001,4,19
2015_1_783_1001,4,15
2015_1_786_1001,1,14
2015_1_790_1001,2,17
2015_1_803_1001,3,9
2015_1_806_1001,5,7
2015_1_815_1001,2,17
2015_1_820_1001,2,19
2015_1_823_1001,3,7
2015_1_827_1001,1,15
2015_1_832_1001,3,18
2015_1_844_1001,5,11
2015_1_848_1001,1,14
2015_1_849_1001,2,4
2015_1_853_1001,3,20
2015_1_857_1001,5,9
2015_1_862_1001,1,11
2015_1_864_1001,1,1
2015_1_865_1001,3,19
2015_1_868_1001,5,9
2015_1_869_1001,5,9
2015_1_871_1001,5,9
2015_1_875_1001,5,14
2015_1_878_1001,5,19
2015_1_880_1001,2,14
2015_1_885_1001,2,13
2015_1_886_1001,5,15
2015_1_887_1001,3,15
2015_1_891_1001,5,15
2015_1_900_1001,5,15
2015_1_901_1001,4,1
2015_1_902_1001,1,15
2015_1_903_1001,5,8
2015_1_904_1001,5,15
2015_1_908_1001,5,15
2015_1_932_1001,5,17
2015_1_939_1001,2,8
2015_1_940_1001,2,7
2015_1_942_1001,2,19
2015_1_948_1001,2,9
2015_1_967_1001,5,7
2015_1_972_1001,5,17
2015_1_978_1001,5,14
2015_1_979_1001,2,17
2015_1_987_1001,2,5
2015_1_989_1001,5,15
2015_1_990_1001,5,15
2015_1_1004_1001,4,15
2015_1_1005_1001,4,19
2015_1_1006_1001,2,14
2015_1_1017_1001,2,15
2015_1_1020_1001,3,10
2015_1_1030_1001,5,13
2015_1_1034_1001,4,7
2015_1_1035_1001,5,19
2015_1_1040_1001,5,17
2015_1_1044_1001,2,8
2015_1_1046_1001,5,8
2015_1_1048_1001,5,9
2015_1_1049_1001,3,15
2015_1_1050_1001,4,15
2015_1_1055_1001,1,1
2015_1_1057_1001,2,17
2015_1_1059_1001,5,4
2015_1_1064_1001,5,15
2015_1_1067_1001,5,15
2015_1_1068_1001,4,14
2015_1_1074_1001,3,4
2015_1_1085_1001,3,17
2015_1_1086_1001,4,15
2015_1_1089_1001,1,5
2015_1_1090_1001,1,12
2015_1_1091_1001,2,14
2015_1_1097_1001,3,17
2015_1_1102_1001,1,17
2015_1_1107_1001,3,19
2015_1_1109_1001,3,15
2015_1_1117_1001,4,20
2015_1_1118_1001,5,19
2015_1_1119_1001,5,20
2015_1_1120_1001,4,4
2015_1_1124_1001,5,14
2015_1_1130_1001,5,11
2015_1_1131_1001,5,16
2015_1_1133_1001,5,15
2015_1_1135_1001,5,9
2015_1_1143_1001,5,15
2015_1_1145_1001,1,17
2015_1_1151_1001,1,15
2015_1_1166_1001,5,13
2015_1_1178_1001,5,14
2015_1_1180_1001,4,11
2015_1_1183_1001,2,15
2015_1_1188_1001,2,15
2015_1_1197_1001,2,4
2015_1_1200_1001,5,8
2015_1_1201_1001,4,5
2015_1_1202_1001,5,5
2015_1_1205_1001,5,11
2015_1_1211_1001,5,15
2015_1_1219_1001,2,9
2015_1_1235_1001,1,15
2015_1_1239_1001,1,20
2015_1_1240_1001,1,5
2015_1_1244_1001,1,15
2015_1_1247_1001,5,17
2015_1_1259_1001,2,15
2015_1_1261_1001,4,5
2015_1_1271_1001,5,7
2015_1_1273_1001,1,15
2015_1_1276_1001,1,11
2015_1_1277_1001,2,10
2015_1_1282_1001,5,20
2015_1_1285_1001,4,8
2015_1_1287_1001,3,15
2015_1_1305_1001,3,14
2015_1_1307_1001,5,9
2015_1_1321_1001,1,20
2015_1_1326_1001,3,15
2015_1_1334_1001,5,11
2015_1_1335_1001,4,7
2015_1_1359_1001,5,14
2015_1_1362_1001,1,15
2015_1_1367_1001,5,17
2015_1_1375_1001,1,14
2015_1_1382_1001,2,20
2015_1_1384_1001,2,11
2015_1_1387_1001,1,7
2015_1_1392_1001,1,18
2015_1_1397_1001,5,6
2015_1_1400_1001,5,20
2015_1_1403_1001,2,6
2015_1_1404_1001,5,15
2015_1_1407_1001,5,11
2015_1_1409_1001,2,17
2015_1_1412_1001,4,6
2015_1_1414_1001,5,1
2015_1_1431_1001,5,15
2015_1_1438_1001,4,11
2015_1_1440_1001,5,8
2015_1_1446_1001,2,11
2015_1_1449_1001,2,7
2015_1_1451_1001,5,10
2015_1_1453_1001,2,16
2015_1_1458_1001,5,20
2015_1_1462_1001,2,1
2015_1_1463_1001,2,8
2015_1_1473_1001,5,16
2015_1_1479_1001,1,14
2015_1_1484_1001,2,13
2015_1_1486_1001,4,14
2015_1_1487_1001,5,7
2015_1_1489_1001,2,20
2015_1_1492_1001,2,7
2015_1_1499_1001,5,16
2015_1_1502_1001,2,4
2015_1_1504_1001,2,15
2015_1_1506_1001,2,2
2015_1_1512_1001,2,15
2015_1_1514_1001,2,17
2015_1_1515_1001,4,15
2015_1_1516_1001,5,13
2015_1_1517_1001,5,19
2015_1_1523_1001,2,1
2015_1_1524_1001,5,13
2015_1_1527_1001,3,17
2015_1_1528_1001,2,13
2015_1_1530_1001,1,14
2015_1_1538_1001,1,15
2015_1_1539_1001,5,13
2015_1_1543_1001,5,19
2015_1_1545_1001,1,9
2015_1_1547_1001,3,14
2015_1_1556_1001,1,8
2015_1_1559_1001,4,15
2015_1_1561_1001,2,19
2015_1_1571_1001,4,15
2015_1_1577_1001,4,4
2015_1_1578_1001,5,7
2015_1_1579_1001,3,20
2015_1_1586_1001,5,8
2015_1_1588_1001,4,14
2015_1_1591_1001,3,1
2015_1_1602_1001,1,6
2015_1_1603_1001,4,8
2015_1_1615_1001,2,19
2015_1_1619_1001,5,2
2015_1_1627_1001,4,15
2015_1_1634_1001,4,18
2015_1_1638_1001,1,9
2015_1_1639_1001,4,1
2015_1_1640_1001,5,20
2015_1_1641_1001,4,15
2015_1_1646_1001,5,9
2015_1_1647_1001,5,8
2015_1_1649_1001,4,11
2015_1_1650_1001,2,7
2015_1_1652_1001,4,9
2015_1_1653_1001,1,19
2015_1_1656_1001,5,9
2015_1_1657_1001,4,9
2015_1_1658_1001,5,19
2015_1_1671_1001,2,4
2015_1_1673_1001,2,7
2015_1_1675_1001,4,18
2015_1_1676_1001,2,9
2015_1_1683_1001,5,18
2015_1_1699_1001,5,6
2015_1_1702_1001,2,16
2015_1_1714_1001,5,13
2015_1_1719_1001,2,15
2015_1_1731_1001,4,18
2015_1_1735_1001,2,13
2015_1_1753_1001,5,7
2015_1_1754_1001,3,18
2015_1_1759_1001,1,7
2015_1_1761_1001,5,14
2015_1_1762_1001,5,7
2015_1_1768_1001,4,8
2015_1_1770_1001,2,7
2015_1_1771_1001,5,15
2015_1_1774_1001,5,15
2015_1_1775_1001,5,9
2015_1_1780_1001,5,18
2015_1_1782_1001,2,15
2015_1_1784_1001,5,18
2015_1_1786_1001,1,20
2015_1_1790_1001,5,20
2015_1_1795_1001,3,9
2015_1_1799_1001,4,10
2015_1_1802_1001,2,4
2015_1_1808_1001,5,14
2015_1_1811_1001,5,15
2015_1_1812_1001,1,9
2015_1_1813_1001,1,7
2015_1_1817_1001,5,8
2015_1_1819_1001,5,20
2015_1_1825_1001,5,4
2015_1_1826_1001,1,15
2015_1_1829_1001,5,7
2015_1_1830_1001,2,20
2015_1_1832_1001,2,20
2015_1_1836_1001,1,20
2015_1_1840_1001,5,6
2015_1_1842_1001,4,10
2015_1_1849_1001,1,9
2015_1_1852_1001,1,10
2015_1_1853_1001,2,19
2015_1_1855_1001,5,11
2015_1_1858_1001,5,17
2015_1_1862_1001,1,15
2015_1_1863_1001,1,15
2015_1_1870_1001,4,18
2015_1_1873_1001,2,15
2015_1_1885_1001,2,17
2015_1_1886_1001,5,7
2015_1_1889_1001,5,18
2015_1_1890_1001,5,9
2015_1_1894_1001,1,8
2015_1_1906_1001,4,14
2015_1_1909_1001,5,14
2015_1_1912_1001,3,7
2015_1_1913_1001,2,9
2015_1_1919_1001,5,15
2015_1_1922_1001,5,9
2015_1_1928_1001,3,17
2015_1_1931_1001,2,7
2015_1_1933_1001,5,7
2015_1_1934_1001,5,10
2015_1_1944_1001,2,14
2015_1_1945_1001,2,20
2015_1_1946_1001,1,19
2015_1_1948_1001,1,15
2015_1_1951_1001,2,14
2015_1_1954_1001,4,7
2015_1_1961_1001,2,8
2015_1_1968_1001,5,8
2015_1_1970_1001,1,19
2015_1_1971_1001,5,6
2015_1_1972_1001,3,18
2015_1_1976_1001,2,9
2015_1_1978_1001,3,11
2015_1_1979_1001,5,20
2015_1_1981_1001,5,17
2015_1_1988_1001,5,8
2015_1_1989_1001,5,15
2015_1_1990_1001,5,10
2015_1_1998_1001,5,7
2015_1_2001_1001,2,1
2015_1_2003_1001,5,14
2015_1_2008_1001,4,17
2015_1_2013_1001,1,1
2015_1_2014_1001,2,2
2015_1_2033_1001,5,18
2015_1_2034_1001,5,7
2015_1_2035_1001,5,14
2015_1_2042_1001,5,7
2015_1_2051_1001,3,1
2015_1_2053_1001,5,2
2015_1_2060_1001,1,13
2015_1_2064_1001,5,13
2015_1_2066_1001,4,13
2015_1_2068_1001,2,20
2015_1_2071_1001,4,19
2015_1_2073_1001,5,9
2015_1_2074_1001,5,15
2015_1_2077_1001,2,20
2015_1_2079_1001,4,15
2015_1_2081_1001,4,14
2015_1_2083_1001,4,10
2015_1_2087_1001,3,15
2015_1_2094_1001,5,9
2015_1_2095_1001,3,7
2015_1_2100_1001,5,18
2015_1_2103_1001,5,18
2015_1_2107_1001,5,9
2015_1_2123_1001,4,4
2015_1_2127_1001,4,15
2015_1_2132_1001,2,14
2015_1_2134_1001,5,14
2015_1_2136_1001,2,15
2015_1_2139_1001,4,13
2015_1_2141_1001,2,20
2015_1_2147_1001,5,13
2015_1_2154_1001,2,11
2015_1_2155_1001,5,18
2015_1_2162_1001,4,15
2015_1_2163_1001,2,14
2015_1_2167_1001,1,9
2015_1_2169_1001,2,20
2015_1_2183_1001,5,18
2015_1_2186_1001,2,20
2015_1_2189_1001,4,7
2015_1_2196_1001,2,14
2015_1_2198_1001,2,7
2015_1_2206_1001,5,7
2015_1_2210_1001,4,7
2015_1_2217_1001,4,16
2015_1_2222_1001,2,5
2015_1_2226_1001,5,10
2015_1_2228_1001,4,8
2015_1_2230_1001,4,11
2015_1_2240_1001,5,8
2015_1_2246_1001,4,7
2015_1_2255_1001,2,18
2015_1_2257_1001,5,7
2015_1_2268_1001,2,13
2015_1_2272_1001,2,15
2015_1_2274_1001,2,15
2015_1_2275_1001,2,10
2015_1_2286_1001,1,8
2015_1_2287_1001,2,10
2015_1_2288_1001,2,11
2015_1_2297_1001,5,15
2015_1_2300_1001,5,11
2015_1_2302_1001,4,18
2015_1_2312_1001,1,19
2015_1_2325_1001,5,7
2015_1_2328_1001,5,11
2015_1_2331_1001,5,15
2015_1_2333_1001,2,8
2015_1_2345_1001,2,9
2015_1_2352_1001,3,10
2015_1_2353_1001,4,7
2015_1_2354_1001,3,15
2015_1_2362_1001,1,15
2015_1_2363_1001,5,8
2015_1_2365_1001,5,18
2015_1_2369_1001,5,20
2015_1_2371_1001,1,16
2015_1_2373_1001,1,20
2015_1_2376_1001,5,7
2015_1_2379_1001,3,8
2015_1_2380_1001,2,9
2015_1_2388_1001,1,11
2015_1_2389_1001,1,1
2015_1_2390_1001,5,8
2015_1_2400_1001,2,15
2015_1_2409_1001,5,15
2015_1_2416_1001,2,20
2015_1_2419_1001,5,11
2015_1_2420_1001,5,20
2015_1_2421_1001,4,7
2015_1_2423_1001,5,11
2015_1_2428_1001,2,15
2015_1_2431_1001,2,15
2015_1_2435_1001,2,9
2015_1_2440_1001,4,20
2015_1_2445_1001,1,7
2015_1_2448_1001,4,1
2015_1_2449_1001,5,17
2015_1_2453_1001,5,15
2015_1_2455_1001,1,14
2015_1_2458_1001,5,20
2015_1_2460_1001,5,7
2015_1_2463_1001,5,15
2015_1_2465_1001,2,20
2015_1_2487_1001,5,7
2015_1_2494_1001,3,6
2015_1_2496_1001,1,20
2015_1_2498_1001,2,14
2015_1_2500_1001,3,15
2015_1_2506_1001,5,9
2015_1_2508_1001,5,20
2015_1_2513_1001,2,20
2015_1_2515_1001,2,7
2015_1_2519_1001,4,20
2015_1_2522_1001,3,8
2015_1_2524_1001,1,8
2015_1_2537_1001,2,14
2015_1_2540_1001,2,15
2015_1_2541_1001,5,15
2015_1_2545_1001,1,1
2015_1_2552_1001,4,9
2015_1_2553_1001,3,11
2015_1_2557_1001,1,11
2015_1_2559_1001,1,11
2015_1_2564_1001,1,15
2015_1_2566_1001,2,15
2015_1_2567_1001,3,7
2015_1_2575_1001,5,17
2015_1_2576_1001,2,8
2015_1_2580_1001,2,16
2015_1_2583_1001,5,1
2015_1_2594_1001,4,14
2015_1_2597_1001,5,13
2015_1_2601_1001,4,14
2015_1_2605_1001,5,15
2015_1_2608_1001,1,7
2015_1_2610_1001,5,16
2015_1_2612_1001,5,8
2015_1_2616_1001,5,14
2015_1_2618_1001,2,7
2015_1_2621_1001,5,11
2015_6_3501_1001,2,15
2015_6_3504_1001,5,1
2015_6_3507_1001,4,15
2015_6_3519_1001,2,8
2015_6_3523_1001,1,16
2015_6_3524_1001,5,9
2015_6_3525_1001,5,15
2015_6_3531_1001,3,8
2015_6_3532_1001,1,15
2015_6_3535_1001,2,6
2015_6_3538_1001,1,7
2015_6_3541_1001,2,8
2015_6_3548_1001,4,20
2015_6_3551_1001,1,1
2015_6_3552_1001,5,15
2015_6_3553_1001,5,14
2015_6_3554_1001,2,7
2015_6_3564_1001,2,6
2015_6_3568_1001,5,17
2015_6_3574_1001,4,14
2015_6_3578_1001,1,19
2015_6_3580_1001,5,8
2015_6_3584_1001,5,10
2015_6_3587_1001,5,20
2015_6_3590_1001,1,9
2015_6_3598_1001,5,8
2015_5_6923_1001,1,9
2015_5_6932_1001,4,7
2015_5_6933_1001,2,17
2015_5_6935_1001,4,11
2015_5_6936_1001,1,8
2015_5_6937_1001,4,15
2015_5_6942_1001,5,4
2015_5_6947_1001,1,8
2015_5_6950_1001,1,9
2015_5_6953_1001,4,20
2015_5_6959_1001,1,7
2015_5_6961_1001,1,15
2015_5_6962_1001,3,15
2015_5_6966_1001,2,5
2015_5_6971_1001,2,5
2015_5_6974_1001,1,20
2015_5_6975_1001,2,15
2015_5_6979_1001,2,7
2015_5_6980_1001,2,14
2015_5_6986_1001,4,8
2015_5_6988_1001,5,4
2015_5_6990_1001,2,11
2015_5_6993_1001,5,20
2015_5_6998_1001,2,7
2015_5_7000_1001,5,12
2015_5_7003_1001,4,20
2015_5_7030_1001,1,18
2015_5_7038_1001,2,7
2015_5_7042_1001,2,14
2015_5_7046_1001,4,5
2015_5_7051_1001,1,10
2015_5_7052_1001,5,7
2015_5_7054_1001,1,9
